WS_3_20.bin
         3.00
11
7
Type of measurement (0=app. resistivity,1=resistance)
0
1383
 2
1
Chargeability
mV/V
 0.06,0.5
4  6.00  0.00 57.00  0.00 27.00  0.00 36.00  0.00 375.17  5.96
4  6.00  0.00 63.00  0.00 30.00  0.00 39.00  0.00 385.39  7.25
4  6.00  0.00 69.00  0.00 33.00  0.00 42.00  0.00 371.37  5.43
4  6.00  0.00 75.00  0.00 36.00  0.00 45.00  0.00 375.66  5.68
4  6.00  0.00 81.00  0.00 39.00  0.00 48.00  0.00 383.98  4.86
4  6.00  0.00 87.00  0.00 42.00  0.00 51.00  0.00 456.48  4.03
4  6.00  0.00 93.00  0.00 45.00  0.00 54.00  0.00 528.16  3.24
4  6.00  0.00 99.00  0.00 48.00  0.00 57.00  0.00 581.38  2.08
4  6.00  0.00 105.00  0.00 51.00  0.00 60.00  0.00 598.74  2.18
4  9.00  0.00 18.00  0.00 12.00  0.00 15.00  0.00 279.78  6.37
4  9.00  0.00 24.00  0.00 15.00  0.00 18.00  0.00 302.34  8.72
4  9.00  0.00 30.00  0.00 18.00  0.00 21.00  0.00 272.07  6.10
4  9.00  0.00 36.00  0.00 21.00  0.00 24.00  0.00 276.38  5.69
4  9.00  0.00 42.00  0.00 24.00  0.00 27.00  0.00 294.18  5.10
4  9.00  0.00 48.00  0.00 27.00  0.00 30.00  0.00 316.54  5.64
4  9.00  0.00 54.00  0.00 30.00  0.00 33.00  0.00 338.26  7.05
4  9.00  0.00 66.00  0.00 36.00  0.00 39.00  0.00 353.40  6.44
4  9.00  0.00 72.00  0.00 39.00  0.00 42.00  0.00 377.85  7.03
4  9.00  0.00 78.00  0.00 42.00  0.00 45.00  0.00 359.89  5.76
4  9.00  0.00 84.00  0.00 45.00  0.00 48.00  0.00 422.12  5.14
4  9.00  0.00 90.00  0.00 48.00  0.00 51.00  0.00 489.46  3.14
4  9.00  0.00 96.00  0.00 51.00  0.00 54.00  0.00 560.06  3.20
4  9.00  0.00 102.00  0.00 54.00  0.00 57.00  0.00 579.92  2.31
4  9.00  0.00 108.00  0.00 57.00  0.00 60.00  0.00 580.56  2.66
4  9.00  0.00 114.00  0.00 60.00  0.00 63.00  0.00 594.15  2.87
4  9.00  0.00 120.00  0.00 63.00  0.00 66.00  0.00 587.65  2.19
4  9.00  0.00 21.00  0.00 12.00  0.00 18.00  0.00 276.53  7.17
4  9.00  0.00 27.00  0.00 15.00  0.00 21.00  0.00 284.22  6.23
4  9.00  0.00 33.00  0.00 18.00  0.00 24.00  0.00 273.87  5.51
4  9.00  0.00 39.00  0.00 21.00  0.00 27.00  0.00 278.30  5.05
4  9.00  0.00 45.00  0.00 24.00  0.00 30.00  0.00 310.07  5.09
4  9.00  0.00 51.00  0.00 27.00  0.00 33.00  0.00 334.27  5.67
4  9.00  0.00 57.00  0.00 30.00  0.00 36.00  0.00 359.93  6.88
4  9.00  0.00 69.00  0.00 36.00  0.00 42.00  0.00 363.90  6.12
4  9.00  0.00 75.00  0.00 39.00  0.00 45.00  0.00 379.12  5.67
4  9.00  0.00 81.00  0.00 42.00  0.00 48.00  0.00 361.89  5.44
4  9.00  0.00 87.00  0.00 45.00  0.00 51.00  0.00 431.04  4.42
4  9.00  0.00 93.00  0.00 48.00  0.00 54.00  0.00 500.88  3.28
4  9.00  0.00 99.00  0.00 51.00  0.00 57.00  0.00 563.05  2.84
4  9.00  0.00 105.00  0.00 54.00  0.00 60.00  0.00 583.81  2.01
4  9.00  0.00 111.00  0.00 57.00  0.00 63.00  0.00 580.52  2.62
4  9.00  0.00 117.00  0.00 60.00  0.00 66.00  0.00 583.40  2.41
4  9.00  0.00 24.00  0.00 12.00  0.00 21.00  0.00 264.02  6.12
4  9.00  0.00 30.00  0.00 15.00  0.00 24.00  0.00 278.19  6.71
